PLANILHA DE CUSTOS - VIAGEM
Viagem;Teste
Escola;Tese
Destino;tterae
Duracao (dias);1
Base Calculo Alunos para Preco;20

PARTICIPANTES
Turma;Alunos;Professores
Teste;2;1
TOTAL (Alunos em Turmas);2;1

DETALHAMENTO DE CUSTOS
Categoria;Item;Valor Unitario;Quantidade;Subtotal
Custos Principais;Onibus;;;1000.00
Custos Principais;Hotel;;;1000.00
Custos Principais;Taxa ACTES p/ Professor;1000.00;1;1000.00
Custos Principais;Pulseiras;;;0.00
Custos Principais;Etiquetas;;;0.00
Custos com Pessoas;Guias (valor total);;;100.00
Custos com Pessoas;Despesas Guias;;;100.00
Custos com Pessoas;Despesas Motoristas;;;0.00
Custos com Pessoas;Despesas Luciana;;;0.00
Custos com Pessoas;Taxa de Apoio Escola;;;0.00
Custos Diversos;Farmacia;;;10.00
Custos Diversos;Gasto Extra Geral;;;10.00
Custos Diversos;Emergencia;;;0.00
Custos Diversos;Poupanca Lumaster;;;0.00
Custos Diversos;Seguro Viagem;;;0.00
Alimentacao;Servico de Bordo;;;0.00
Alimentacao;Alimentacao Extra;;;0.00

RESUMO FINANCEIRO
Item;Valor
Custo Base Total;3220.00
Custo Base por Aluno (Base 20 Alunos);161.00
Lucro (100.00%);3220.00
VALOR FINAL DA VIAGEM;6440.00
Custo Final por Aluno (Base 20 Alunos);322.00
